MatrixSize,PartitionRow,MinTime,MaxTime,AvgTime,AvgBcastTime,AvgMatmulTime,AvgReduceTime,TotalRun,nProcess,NonZeroPerRow,NonZeroPerBlock
3686400,122880,    16.916,    16.917,    16.917,     1.682,    11.589,     3.633,100,900,     2.441,300000
3686400,122880,    17.709,    17.711,    17.710,     1.639,    12.375,     3.690,100,900,     2.686,330000
3686400,122880,    18.007,    18.008,    18.007,     1.510,    12.123,     4.341,100,900,     2.604,320000
3686400,122880,    12.102,    12.103,    12.103,     1.697,     7.570,     2.830,100,900,     1.261,155000
3686400,122880,    16.563,    16.564,    16.563,     1.508,    10.625,     4.422,100,900,     2.075,255000
3686400,122880,    17.315,    17.316,    17.315,     1.418,    11.516,     4.348,100,900,     2.360,290000
3686400,122880,    17.530,    17.530,    17.530,     1.603,    11.807,     4.116,100,900,     2.523,310000
3686400,122880,    17.378,    17.379,    17.379,     1.553,    11.140,     4.667,100,900,     2.279,280000
3686400,122880,    19.029,    19.030,    19.029,     1.537,    13.017,     4.429,100,900,     2.848,350000
3686400,60000,     7.124,     7.125,     7.125,     1.015,     3.112,     2.992,100,900,     2.048,122880
3686400,70000,     7.919,     7.920,     7.919,     1.090,     3.739,     3.085,100,900,     1.755,122880
3686400,80000,     8.539,     8.540,     8.539,     1.237,     4.308,     2.988,100,900,     1.536,122880
3686400,90000,     9.167,     9.169,     9.168,     1.437,     5.072,     2.646,100,900,     1.365,122880
3686400,50000,     6.031,     6.033,     6.032,     0.889,     2.371,     2.765,100,900,     2.458,122880
3686400,122880,     8.860,     8.862,     8.861,     1.629,     4.544,     2.668,100,900,     0.658,80880
3686400,122880,     9.964,     9.965,     9.965,     1.527,     5.437,     2.985,100,900,     0.821,100880
3686400,122880,    10.889,    10.890,    10.889,     1.650,     6.573,     2.653,100,900,     1.000,122880
3686400,278187,    23.348,    23.348,    23.348,     2.887,    16.238,     4.205,100,900,     0.892,248256
3686400,541334,    45.931,    45.933,    45.932,     4.809,    33.256,     7.834,100,900,     0.887,479984
3686400,1850,     0.239,     0.240,     0.240,     0.107,     0.016,     0.113,100,900,     0.423,782
3686400,14471,     1.561,     1.561,     1.561,     0.535,     0.473,     0.548,100,900,     2.463,35637
3686400,33334,     2.082,     2.083,     2.082,     0.655,     0.296,     1.128,100,900,     0.133,4440
3686400,40903,     2.413,     2.414,     2.414,     0.805,     0.472,     1.132,100,900,     0.200,8169
3686400,52850,     2.865,     2.866,     2.865,     0.924,     0.529,     1.407,100,900,     0.128,6750
3686400,68784,     3.631,     3.632,     3.631,     1.147,     0.948,     1.528,100,900,     0.209,14405
3686400,50269,     4.647,     4.648,     4.647,     0.945,     1.551,     2.141,100,900,     1.131,56849
3686400,126643,     5.797,     5.799,     5.798,     1.728,     1.984,     2.074,100,900,     0.199,25262
3686400,123761,     5.775,     5.777,     5.776,     1.704,     1.941,     2.116,100,900,     0.199,24685
3686400,540486,    17.072,    17.074,    17.072,     4.744,     4.893,     7.404,100,900,     0.063,33879
3686400,933120,    80.155,    80.156,    80.155,     8.718,    59.636,    11.750,100,900,     0.889,829420
3686400,617350,    56.051,    56.051,    56.051,     6.540,    41.016,     8.430,100,900,     0.942,581749
3686400,1697068,    51.198,    51.199,    51.198,    18.656,    16.719,    15.726,100,900,     0.071,120121
3686400,1697068,    45.657,    45.658,    45.657,    16.122,    10.455,    18.986,100,900,     0.017,28248
3686400,398359,    13.227,    13.228,    13.227,     3.627,     3.822,     5.747,100,900,     0.071,28248
3686400,171829,    11.566,    11.568,    11.567,     2.120,     6.580,     2.855,100,900,     0.608,104494
3686400,138793,     6.335,     6.336,     6.335,     1.856,     2.415,     2.052,100,900,     0.200,27751
3686400,116726,     5.453,     5.459,     5.457,     1.614,     1.804,     2.027,100,900,     0.200,23337
3000000,1000000,    93.688,    93.690,    93.689,    10.828,    72.163,    10.630,100,900,     1.000,1000000
3000000,1000000,    95.869,    95.870,    95.869,     9.694,    71.873,    14.202,100,900,     1.001,1001000
3000000,1000000,    97.649,    97.651,    97.650,    11.164,    71.383,    14.966,100,900,     1.002,1002000
3000000,1000000,    97.367,    97.368,    97.367,    12.660,    71.790,    12.836,100,900,     1.003,1003000
3000000,1000000,    96.175,    96.176,    96.176,    14.375,    72.655,     9.091,100,900,     1.004,1004000
3000000,1000000,    98.958,    98.960,    98.959,    14.187,    72.400,    12.182,100,900,     1.005,1005000
3000000,1000000,    95.652,    95.653,    95.652,     9.198,    72.651,    13.798,100,900,     1.006,1006000
3000000,1000000,    93.301,    93.303,    93.302,    10.102,    72.410,    10.719,100,900,     1.007,1007000
3000000,1000000,    98.661,    98.663,    98.662,    16.377,    72.683,     9.485,100,900,     1.008,1008000
3000000,1000000,    98.833,    98.834,    98.833,    12.804,    72.331,    13.607,100,900,     1.009,1009000
3000000,1000000,    93.553,    93.555,    93.554,    10.483,    72.143,    10.849,100,900,     1.010,1010000
3000000,1000000,    97.768,    97.768,    97.768,    10.506,    72.538,    14.586,100,900,     1.011,1011000
3000000,1000000,    93.281,    93.283,    93.282,     9.863,    72.311,    11.042,100,900,     1.012,1012000
3000000,1000000,    93.687,    93.688,    93.687,     9.697,    72.762,    11.169,100,900,     1.013,1013000
3000000,1000000,    97.564,    97.565,    97.564,    10.296,    72.611,    14.605,100,900,     1.014,1014000
3000000,1000000,    98.641,    98.642,    98.642,    11.801,    72.257,    14.430,100,900,     1.015,1015000
3000000,1000000,    95.859,    95.860,    95.859,     9.716,    72.160,    13.815,100,900,     1.016,1016000
3000000,1000000,    94.410,    94.412,    94.411,    11.558,    72.413,    10.388,100,900,     1.017,1017000
3000000,1000000,    97.001,    97.001,    97.001,    11.030,    72.231,    13.498,100,900,     1.018,1018000
3000000,1000000,    95.344,    95.345,    95.345,     9.427,    72.546,    13.304,100,900,     1.020,1020000
3000000,1000000,    97.674,    97.675,    97.675,    10.321,    73.472,    13.751,100,900,     1.019,1019000
3000000,2000000,   195.562,   195.563,   195.563,    24.816,   149.634,    20.748,100,900,     1.000,2000000
3000000,2000000,   274.815,   274.817,   274.816,    52.989,   198.454,    23.293,100,900,     1.500,3000000
3000000,2000000,   317.618,   317.620,   317.619,    22.913,   250.030,    43.967,100,900,     2.000,4000000
3000000,2000000,   342.264,   342.265,   342.265,    22.299,   282.052,    37.627,100,900,     2.500,5000000
3000000,2000000,   380.617,   380.618,   380.617,    33.379,   318.174,    28.952,100,900,     3.000,6000000
3000000,2000000,   419.838,   419.840,   419.839,    48.064,   333.478,    37.477,100,900,     3.500,7000000
3000000,2000000,   121.175,   121.176,   121.175,    19.324,    79.850,    21.884,100,900,     0.500,1000000
3000000,2000000,   427.074,   427.077,   427.076,    47.083,   366.393,    13.414,100,900,     4.000,8000000
3000000,2000000,    86.029,    86.030,    86.029,    22.311,    44.942,    18.671,100,900,     0.250,500000
3000000,2000000,   550.173,   550.175,   550.174,   130.957,   402.111,    16.001,100,900,     4.500,9000000
3000000,500000,    46.501,    46.502,    46.502,     4.484,    34.323,     7.635,100,900,     1.000,500000
3000000,2000000,   515.487,   515.489,   515.488,    18.211,   484.536,    11.170,100,900,     5.000,10000000
3000000,500000,    50.041,    50.042,    50.042,     7.011,    34.563,     8.424,100,900,     1.020,510000
3000000,500000,    49.682,    49.683,    49.682,     5.982,    35.302,     8.307,100,900,     1.040,520000
3000000,500000,    50.355,    50.356,    50.356,     5.625,    35.661,     9.003,100,900,     1.060,530000
3000000,500000,    47.318,    47.320,    47.319,     4.593,    35.915,     6.778,100,900,     1.080,540000
3000000,500000,    50.929,    50.930,    50.929,     4.955,    36.172,     9.774,100,900,     1.100,550000
3000000,500000,    48.733,    48.734,    48.734,     4.552,    36.798,     7.344,100,900,     1.120,560000
3000000,500000,    51.161,    51.162,    51.161,     6.060,    37.612,     7.455,100,900,     1.140,570000
3000000,500000,    51.800,    51.801,    51.801,     4.635,    37.658,     9.403,100,900,     1.160,580000
3000000,500000,    53.738,    53.739,    53.739,     5.385,    38.394,     9.927,100,900,     1.180,590000
3000000,500000,    52.509,    52.511,    52.510,     4.317,    38.714,     9.426,100,900,     1.200,600000
